Wall time,Step,Value
1683889337.5292928,32,3.7000954151153564
1683889564.778921,74,-36.41268539428711
1683889864.4940813,130,-23.186681747436523
1683890158.8280091,185,-30.107757568359375
1683890282.9220738,207,-37.98124313354492
1683890402.064391,228,-41.518714904785156
1683890453.9633856,236,-41.577720642089844
1683890841.5002203,309,-57.51506423950195
1683891259.902351,388,3.6824023723602295
1683891502.8909912,433,-39.055084228515625
1683891616.7284136,453,-41.14202117919922
1683891792.425956,485,-59.8984375
1683891906.3230708,505,-48.867088317871094
1683892082.169441,537,-28.44122314453125
1683892360.9373255,589,-8.537359237670898
1683892624.5581293,638,-10.8336181640625
1683892764.0914438,663,-17.02448844909668
1683892929.732732,693,-34.45857620239258
1683893084.9542797,721,-62.07912826538086
1683893415.5986285,783,-30.882993698120117
1683893653.5323844,827,2.315796136856079
1683893793.153763,852,-23.08568572998047
1683893906.9951391,872,-28.56926155090332
1683894335.5973234,953,-13.53121566772461
1683894619.646443,1006,-22.359724044799805
1683894738.8458126,1027,-21.552562713623047
1683894816.5647845,1040,-20.8955020904541
1683895033.57519,1080,-24.480144500732422
1683895106.2444568,1092,-32.06884002685547
1683895214.9688845,1111,-32.73820877075195
1683895375.282326,1140,-47.96456527709961
1683895602.4296145,1182,-39.76091384887695
1683895690.5727594,1197,-36.8203010559082
1683895923.138523,1240,-19.68543243408203
1683896006.0212183,1254,-11.46230697631836
1683896078.605019,1266,-18.2260684967041
1683896306.017414,1308,-23.45914077758789
1683896430.1498544,1330,-23.696758270263672
1683896528.6481586,1347,-26.056753158569336
1683896637.264501,1366,-26.05489158630371
1683896854.317629,1406,-17.817262649536133
1683897066.2445176,1445,-22.168167114257812
1683897113.1110249,1452,-20.99774742126465
1683897226.9610484,1472,-20.19824981689453
1683897495.6389987,1522,-21.933351516723633
1683897764.2809095,1572,-31.710290908813477
1683897862.6772952,1589,-34.95711135864258
1683898121.1553693,1637,-36.01148986816406
1683898281.5685701,1666,-14.935503005981445
1683898447.0176842,1696,-31.149765014648438
1683898597.028218,1723,-35.061946868896484
1683898829.553345,1766,-25.72550392150879
1683898953.6184556,1788,-10.3579740524292
1683899186.276238,1831,-4.241594314575195
1683899357.006926,1862,-3.546584367752075
1683899610.3375585,1909,-2.4378254413604736
1683899791.3299334,1942,-5.576651096343994
1683899992.9608083,1979,-31.44095802307129
1683900127.6016378,2003,-43.568580627441406
1683900365.062421,2047,-33.04579544067383
1683900509.7801244,2073,-15.825879096984863
1683900747.3378892,2117,-3.070929765701294
1683900881.7885828,2141,-25.519195556640625
1683901165.84092,2194,-23.205516815185547
1683901320.8669236,2222,-30.315399169921875
1683901552.8604207,2265,-21.9825439453125
1683901625.2261307,2277,-21.692235946655273
1683901857.229723,2320,-13.18586254119873
1683902130.2754269,2371,1.9803017377853394
1683902383.001441,2418,8.482138633728027
1683902465.7463822,2432,5.236600399017334
1683902574.239281,2451,-6.2537431716918945
1683902729.0199676,2479,-16.886215209960938
1683902888.928096,2508,-17.28984832763672
1683903296.1774313,2585,7.226237773895264
1683903435.6721587,2610,-0.7814280986785889
1683903657.7307043,2651,-1.480372428894043
1683903936.3188105,2703,-6.135077476501465
1683904008.7562945,2715,-13.335837364196777
1683904148.2569282,2740,-28.903255462646484
1683904396.2947543,2786,-42.41074752807617
1683904561.714456,2816,-26.595407485961914
1683904706.4423025,2842,-13.738346099853516
1683904856.2163358,2869,-11.935102462768555
1683905073.1836512,2909,-12.861737251281738
1683905254.2315426,2942,-24.437999725341797
1683905383.440469,2965,-19.186717987060547
1683905662.252405,3017,-28.177942276000977
1683905843.2321985,3050,-25.231592178344727
1683906096.308319,3097,-15.348498344421387
1683906235.8622043,3122,-20.984086990356445
1683906540.5652444,3179,2.5549063682556152
1683906638.9868665,3196,-2.879514217376709
1683906706.4387197,3207,-6.699350357055664
1683906804.8823287,3224,-20.09463882446289
1683906918.606843,3244,-32.09882354736328
1683907083.9933035,3274,-35.0437126159668
1683907264.939651,3307,-24.56942367553711
1683907414.9513235,3334,-9.029069900512695
1683907575.1956816,3363,1.4087387323379517
1683907771.6101224,3399,-1.9154750108718872
1683907916.3278167,3425,-9.002593040466309
1683908050.7461572,3449,-12.071189880371094
1683908169.8178847,3470,-24.957897186279297
1683908206.2265995,3475,-28.847179412841797
1683908356.2292325,3502,-39.532291412353516
1683908516.4185076,3531,-34.719295501708984
1683908676.6099725,3560,-37.61240005493164
1683908914.407012,3604,-10.920459747314453
1683909059.3003647,3630,-12.14400863647461
1683909245.326468,3664,-23.025617599487305
1683909436.5093813,3699,-22.680850982666016
1683909725.6062834,3753,0.5206119418144226
1683909937.2371292,3792,-21.759593963623047
1683910025.1654747,3807,-34.54638671875
1683910252.2479722,3849,-33.39162063598633
1683910474.3596756,3890,-11.369806289672852
1683910670.6647573,3926,-3.352874279022217
1683910892.830084,3967,-3.287973642349243
1683911083.9203503,4002,-4.685690879821777
1683911218.339628,4026,-12.233781814575195
1683911378.6212654,4055,-15.801871299743652
1683911642.040409,4104,-7.754142761230469
1683911740.5620592,4121,-16.59813117980957
1683912034.9714422,4176,-47.97798156738281
1683912339.750306,4233,-25.276287078857422
1683912510.3496351,4264,-27.845256805419922
1683912624.2206118,4284,-16.444957733154297
1683912789.579022,4314,-32.55266189575195
1683913042.683413,4361,-18.961538314819336
1683913202.8979678,4390,-14.346061706542969
1683913311.6361675,4409,-16.459619522094727
1683913662.4610543,4475,-12.107870101928711
1683913946.2783968,4528,4.659852981567383
1683914220.0738602,4579,3.8939499855041504
1683914318.3454437,4596,-5.16944694519043
1683914535.2914546,4636,-7.836541652679443
1683914731.6784177,4672,-8.323884963989258
1683914881.6600523,4699,-5.56651496887207
1683915114.2050698,4742,-22.28578758239746
1683915258.9956374,4768,-28.212743759155273
1683915475.8926766,4808,-18.437454223632812
1683915625.9997694,4835,-14.367683410644531
1683915961.7255068,4898,0.7319443821907043
1683916106.37447,4924,-4.062953472137451
1683916184.0623434,4937,-17.391386032104492
1683916323.7300115,4962,-23.597314834594727
1683916483.9558752,4991,-22.318004608154297
1683916711.1202307,5033,-12.953922271728516
1683916845.5873282,5057,-25.877744674682617
1683916990.389756,5083,-34.01337432861328
1683917124.9744205,5107,-37.83022689819336
1683917295.5112746,5138,-32.48682403564453
1683917450.5111125,5166,-23.512981414794922
1683917652.0251682,5203,-8.610174179077148
1683917817.3484328,5233,-7.0489501953125
1683917993.1779945,5265,1.9748750925064087
1683918220.4186516,5307,0.3768630921840668
1683918473.673096,5354,-20.33985710144043
1683918664.7730076,5389,-48.09060287475586
1683919005.5327241,5453,-30.026607513427734
1683919238.0677457,5496,-0.6527042984962463
1683919424.178477,5530,-31.000123977661133
1683919697.9786623,5581,-62.70148849487305
1683920038.8383074,5645,-15.167362213134766
1683920157.7816455,5666,2.24074125289917
1683920266.4930117,5685,-1.536590814590454
1683920514.3852022,5731,-3.9036829471588135
1683920648.969295,5755,-3.343754529953003
1683920845.304456,5791,1.8224493265151978
1683920964.2171385,5812,-0.9146846532821655
1683921098.6487749,5836,-0.5946619510650635
1683921315.6711497,5876,-8.825194358825684
1683921424.2963274,5895,-19.92711639404297
1683921579.2841485,5923,-23.32447052001953
1683921734.2974753,5951,-15.083823204040527
1683921889.3964288,5979,-23.830204010009766
1683921993.0331514,5997,-13.850326538085938
1683922137.7436087,6023,-9.511706352233887
1683922277.3544989,6048,-9.78458309173584
1683922417.0112274,6073,1.5718131065368652
1683922541.0982072,6095,-4.922361850738525
1683922768.454762,6137,-7.080794811248779
1683922835.958737,6148,-17.208425521850586
1683922908.523017,6160,-26.19509506225586
1683923120.1850753,6199,-33.52963638305664
1683923208.1774216,6214,-34.835418701171875
1683923353.0596516,6240,-44.281837463378906
1683923492.7704341,6265,-22.969074249267578
1683923679.0326772,6299,-21.651155471801758
1683923828.9522414,6326,-15.342047691345215
1683923999.6090386,6357,-7.221919536590576
1683924123.8534262,6379,-7.813502788543701
1683924397.479218,6430,-17.673433303833008
1683924763.904642,6499,-17.341670989990234
1683924919.0292604,6527,-31.524391174316406
1683925074.096561,6555,-9.477147102355957
1683925193.0532064,6576,-11.667071342468262
1683925317.1703522,6598,-15.911233901977539
1683925451.6018252,6622,-7.016048908233643
1683925627.159596,6654,-7.959372043609619
1683925699.7528286,6666,-14.2048978805542
1683925901.223904,6703,-9.611888885498047
1683926087.451275,6737,-8.41987133026123
